,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
889,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:21.211385.cam1.A_collapsed_diff.fits,45.0,Open,IPOL,0.0,A,0.105,0.0471744,21922.0,903.4641,33227.0,1150.8439
94,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:48.873671.cam1.A_collapsed_diff.fits,45.0,625-50,IPOL,0.0,A,0.105,0.0471744,-1080.0,66.22258,1763.5,81.24302
429,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:33.711720.cam1.A_collapsed_diff.fits,45.0,675-50,IPOL,0.0,A,0.105,0.0471744,-194.0,140.36275,7145.0,271.04364
565,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:51.350568.cam1.A_collapsed_diff.fits,45.0,725-50,IPOL,0.0,A,0.105,0.0471744,7384.0,320.13544,13378.0,483.0883
1023,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:35.550835.cam1.A_collapsed_diff.fits,45.0,750-50,IPOL,0.0,A,0.105,0.0471744,9954.0,376.20758,14644.0,522.4109
757,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:42.131859.cam1.A_collapsed_diff.fits,45.0,775-50,IPOL,0.0,A,0.105,0.0471744,6177.0,247.18465,8397.0,323.09915
696,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:33:42.374535.cam1.A_collapsed_diff.fits,45.0,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[19866. 19443.  4891.   349.],[688.95936526 490.84405008 297.56603571 107.26629169],[23740.5 27359.5 12895.5  3826.5],[798.7614491  609.00069175 320.43863258 101.54448365]
358,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:21.211385.cam1.B_collapsed_diff.fits,45.0,Open,IPOL,0.0,B,0.105,0.0471744,-29779.0,1169.3877,34472.0,1208.395
627,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:48.873671.cam1.B_collapsed_diff.fits,45.0,625-50,IPOL,0.0,B,0.105,0.0471744,636.0,128.18863,1712.0,79.7065
530,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:33.711720.cam1.B_collapsed_diff.fits,45.0,675-50,IPOL,0.0,B,0.105,0.0471744,-1810.0,390.8556,7200.0,276.59912
893,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:35:51.350568.cam1.B_collapsed_diff.fits,45.0,725-50,IPOL,0.0,B,0.105,0.0471744,-11074.0,447.94608,14032.0,501.79425
601,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:35.550835.cam1.B_collapsed_diff.fits,45.0,750-50,IPOL,0.0,B,0.105,0.0471744,-13770.0,514.5454,15329.0,543.867
0,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:47:42.131859.cam1.B_collapsed_diff.fits,45.0,775-50,IPOL,0.0,B,0.105,0.0471744,-8177.0,322.59833,8629.0,333.44562
886,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:33:42.374535.cam1.B_collapsed_diff.fits,45.0,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[-22265.5 -26523.5  -8596.   -1399. ],[791.45797182 874.41319752 371.83239858 137.21455296],[22477.5 29186.  13342.5  3712. ],[797.27596033 820.95045601 361.46138687 119.37249339]
331,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:24.613642.cam1.A_collapsed_diff.fits,57.5,Open,IPOL,0.0,A,0.105,0.0471744,11870.0,783.0639,32767.0,1179.6171
468,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:53.326168.cam1.A_collapsed_diff.fits,57.5,625-50,IPOL,0.0,A,0.105,0.0471744,-1081.0,66.52477,1759.0,82.804184
284,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:29.928144.cam1.A_collapsed_diff.fits,57.5,675-50,IPOL,0.0,A,0.105,0.0471744,1175.0,206.39117,7123.0,275.495
242,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:55.229963.cam1.A_collapsed_diff.fits,57.5,725-50,IPOL,0.0,A,0.105,0.0471744,6925.0,390.97827,13411.0,495.2116
837,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:30.716851.cam1.A_collapsed_diff.fits,57.5,750-50,IPOL,0.0,A,0.105,0.0471744,9339.0,450.42047,14602.0,542.4179
689,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:46.993044.cam1.A_collapsed_diff.fits,57.5,775-50,IPOL,0.0,A,0.105,0.0471744,5502.5,278.1381,8276.0,336.00034
27,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:02.093546.cam1.A_collapsed_diff.fits,57.5,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[13337.5 10360.5  1190.5  -369. ],[531.8586925  430.85857472 245.18839875 101.49982072],[22094.5 27538.5 12976.   3808.5],[800.67495167 661.5367788  343.47489688  97.65599607]
905,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:24.613642.cam1.B_collapsed_diff.fits,57.5,Open,IPOL,0.0,B,0.105,0.0471744,-19837.0,1077.3695,33419.0,1219.9595
391,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:53.326168.cam1.B_collapsed_diff.fits,57.5,625-50,IPOL,0.0,B,0.105,0.0471744,758.0,65.0891,1706.0,80.72938
576,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:29.928144.cam1.B_collapsed_diff.fits,57.5,675-50,IPOL,0.0,B,0.105,0.0471744,-2545.0,242.14372,7257.0,279.77988
89,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:55.229963.cam1.B_collapsed_diff.fits,57.5,725-50,IPOL,0.0,B,0.105,0.0471744,-10317.0,510.84192,14094.0,517.35016
594,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:30.716851.cam1.B_collapsed_diff.fits,57.5,750-50,IPOL,0.0,B,0.105,0.0471744,-11709.0,536.0674,15258.0,565.94183
958,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:46.993044.cam1.B_collapsed_diff.fits,57.5,775-50,IPOL,0.0,B,0.105,0.0471744,-6734.0,318.58206,8462.0,349.48312
997,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:02.093546.cam1.B_collapsed_diff.fits,57.5,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[-15543.5 -17840.5  -5411.5   -781. ],[ 727.56322485 1069.29000534  476.56056306  132.87138394],[21181.5 28326.  13045.   3653. ],[816.37585171 814.41511009 357.11752342  99.00098781]
932,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:31.668954.cam1.A_collapsed_diff.fits,70.0,Open,IPOL,0.0,A,0.105,0.0471744,-10834.0,450.17474,32098.0,1123.9099
598,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:00.765922.cam1.A_collapsed_diff.fits,70.0,625-50,IPOL,0.0,A,0.105,0.0471744,-1312.0,71.02066,1774.0,356.43402
272,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:22.586270.cam1.A_collapsed_diff.fits,70.0,675-50,IPOL,0.0,A,0.105,0.0471744,-590.0,153.8471,7238.5,274.45093
482,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:02.570889.cam1.A_collapsed_diff.fits,70.0,725-50,IPOL,0.0,A,0.105,0.0471744,-734.0,277.05832,13730.0,493.07773
952,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:23.280182.cam1.A_collapsed_diff.fits,70.0,750-50,IPOL,0.0,A,0.105,0.0471744,1112.0,333.33978,14270.5,518.93225
534,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:54.335068.cam1.A_collapsed_diff.fits,70.0,775-50,IPOL,0.0,A,0.105,0.0471744,1467.0,294.3279,7161.0,302.6314
811,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:10.799866.cam1.A_collapsed_diff.fits,70.0,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[ -1825.5 -10662.5  -6623.5  -1611.5],[198.75093928 505.526757   178.33338898 115.44807143],[18824.  28418.5 13368.5  3767.5],[698.70510581 766.50425714 377.72614685 123.43308798]
398,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:31.668954.cam1.B_collapsed_diff.fits,70.0,Open,IPOL,0.0,B,0.105,0.0471744,3508.0,436.98648,31801.0,1117.749
844,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:00.765922.cam1.B_collapsed_diff.fits,70.0,625-50,IPOL,0.0,B,0.105,0.0471744,1125.0,66.99792,1711.0,80.296646
14,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:22.586270.cam1.B_collapsed_diff.fits,70.0,675-50,IPOL,0.0,B,0.105,0.0471744,-100.0,165.18494,7234.0,278.72098
258,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:02.570889.cam1.B_collapsed_diff.fits,70.0,725-50,IPOL,0.0,B,0.105,0.0471744,-2103.0,448.0171,13837.0,502.63885
900,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:23.280182.cam1.B_collapsed_diff.fits,70.0,750-50,IPOL,0.0,B,0.105,0.0471744,-2403.0,283.18143,14428.0,535.1086
234,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:54.335068.cam1.B_collapsed_diff.fits,70.0,775-50,IPOL,0.0,B,0.105,0.0471744,-1994.0,181.65286,7215.0,310.04858
774,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:35:10.799866.cam1.B_collapsed_diff.fits,70.0,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[ 110.  3473.  2486.   435.5],[333.73759985 833.52705449 418.16459024 137.53342312],[19143.5 27876.  12814.   3749. ],[713.23392689 663.31694955 309.69916419 102.9978809 ]
374,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:10.348835.cam1.A_collapsed_diff.fits,82.5,Open,IPOL,0.0,A,0.105,0.0471744,-28722.0,909.31775,32302.0,1092.7795
1030,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:39.367079.cam1.A_collapsed_diff.fits,82.5,625-50,IPOL,0.0,A,0.105,0.0471744,-1496.0,74.85519,1794.0,361.7507
506,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:43.335303.cam1.A_collapsed_diff.fits,82.5,675-50,IPOL,0.0,A,0.105,0.0471744,-3741.0,164.84647,7605.0,272.87616
876,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:40.488041.cam1.A_collapsed_diff.fits,82.5,725-50,IPOL,0.0,A,0.105,0.0471744,-9824.0,360.5452,14258.0,451.0635
660,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:44.218880.cam1.A_collapsed_diff.fits,82.5,750-50,IPOL,0.0,A,0.105,0.0471744,-8741.0,300.93195,14011.0,495.52066
934,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:33.256271.cam1.A_collapsed_diff.fits,82.5,775-50,IPOL,0.0,A,0.105,0.0471744,-3093.0,143.38997,6328.0,256.10678
758,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:12.313795.cam1.A_collapsed_diff.fits,82.5,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[-13889.  -27267.5 -12740.5  -2802.5],[507.14405412 830.5896095  327.13619101 119.41110738],[16562.  29836.5 13944.   3862. ],[622.19970933 871.60604621 404.88412084 134.51811086]
352,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:10.348835.cam1.B_collapsed_diff.fits,82.5,Open,IPOL,0.0,B,0.105,0.0471744,22752.0,644.91364,30762.0,1037.2988
95,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:39.367079.cam1.B_collapsed_diff.fits,82.5,625-50,IPOL,0.0,B,0.105,0.0471744,1408.0,72.32655,1720.0,78.72888
175,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:43.335303.cam1.B_collapsed_diff.fits,82.5,675-50,IPOL,0.0,B,0.105,0.0471744,3334.0,163.89017,7381.0,247.44511
808,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:40.488041.cam1.B_collapsed_diff.fits,82.5,725-50,IPOL,0.0,B,0.105,0.0471744,7733.0,266.34814,13863.0,491.451
561,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:44.218880.cam1.B_collapsed_diff.fits,82.5,750-50,IPOL,0.0,B,0.105,0.0471744,7674.5,255.17955,13830.0,498.31696
589,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:33.256271.cam1.B_collapsed_diff.fits,82.5,775-50,IPOL,0.0,B,0.105,0.0471744,2697.0,132.82994,6247.5,255.3975
673,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:12.313795.cam1.B_collapsed_diff.fits,82.5,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[12902.  21314.   9496.5  1714. ],[444.35523592 534.04917088 293.80914053 123.4551787 ],[17644.5 27976.5 12967.5  3497.5],[640.19050037 585.10267884 291.68477571 109.45833291]
431,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:17.308349.cam1.A_collapsed_diff.fits,95.0,Open,IPOL,0.0,A,0.105,0.0471744,-29931.0,1081.3401,32304.0,1058.8796
78,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:46.800407.cam1.A_collapsed_diff.fits,95.0,625-50,IPOL,0.0,A,0.105,0.0471744,-1357.0,72.748955,1795.0,360.82773
388,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:35.898593.cam1.A_collapsed_diff.fits,95.0,675-50,IPOL,0.0,A,0.105,0.0471744,-5838.0,228.14635,7690.0,271.9613
305,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:47.924735.cam1.A_collapsed_diff.fits,95.0,725-50,IPOL,0.0,A,0.105,0.0471744,-13195.0,477.3333,14593.0,496.68558
821,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:36.878007.cam1.A_collapsed_diff.fits,95.0,750-50,IPOL,0.0,A,0.105,0.0471744,-12595.0,453.15768,14154.0,481.7677
574,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:40.689613.cam1.A_collapsed_diff.fits,95.0,775-50,IPOL,0.0,A,0.105,0.0471744,-4936.0,209.43153,5887.0,228.74773
992,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:20.827187.cam1.A_collapsed_diff.fits,95.0,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[-14556.5 -27920.5 -13235.   -3237. ],[573.64142042 877.21295782 414.98446469 118.60214587],[16335.5 29951.5 13903.   3878.5],[575.54714759 831.80262234 380.53017007 128.26678073]
370,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:20:17.308349.cam1.B_collapsed_diff.fits,95.0,Open,IPOL,0.0,B,0.105,0.0471744,25246.0,909.18854,30682.0,993.296
516,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:26:46.800407.cam1.B_collapsed_diff.fits,95.0,625-50,IPOL,0.0,B,0.105,0.0471744,1315.0,75.485085,1728.0,77.70561
907,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:32:35.898593.cam1.B_collapsed_diff.fits,95.0,675-50,IPOL,0.0,B,0.105,0.0471744,5192.0,222.82503,7350.0,257.48373
1004,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:38:47.924735.cam1.B_collapsed_diff.fits,95.0,725-50,IPOL,0.0,B,0.105,0.0471744,11362.0,424.22897,14022.0,479.73904
983,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:44:36.878007.cam1.B_collapsed_diff.fits,95.0,750-50,IPOL,0.0,B,0.105,0.0471744,10598.0,412.6842,13703.0,469.09656
605,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:50:40.689613.cam1.B_collapsed_diff.fits,95.0,775-50,IPOL,0.0,B,0.105,0.0471744,4014.0,193.55424,5715.0,221.48593
167,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:37:20.827187.cam1.B_collapsed_diff.fits,95.0,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[13596.5 23421.5 11358.   2566. ],[552.48961557 532.56732749 273.29310872  94.85595581],[17653.  28214.  13094.5  3488.5],[603.77586116 574.72111575 282.43488273 100.2774779 ]
77,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:55.606868.cam1.A_collapsed_diff.fits,107.5,Open,IPOL,0.0,A,0.105,0.0471744,-13958.0,798.8857,32210.0,1020.4635
469,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:28:25.911635.cam1.A_collapsed_diff.fits,107.5,625-50,IPOL,0.0,A,0.105,0.0471744,-835.0,63.952072,1783.0,77.6294
194,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:30:56.834831.cam1.A_collapsed_diff.fits,107.5,675-50,IPOL,0.0,A,0.105,0.0471744,-4743.0,213.13574,7623.0,263.1841
206,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:40:26.508794.cam1.A_collapsed_diff.fits,107.5,725-50,IPOL,0.0,A,0.105,0.0471744,-8572.0,418.8413,14109.0,475.40454
643,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:42:57.626064.cam1.A_collapsed_diff.fits,107.5,750-50,IPOL,0.0,A,0.105,0.0471744,-8268.0,397.3093,14014.0,469.81113
717,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:52:18.752079.cam1.A_collapsed_diff.fits,107.5,775-50,IPOL,0.0,A,0.105,0.0471744,-2614.0,185.45404,6293.0,228.27284
901,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:39:21.954150.cam1.A_collapsed_diff.fits,107.5,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[ -3387.5 -12034.   -8040.5  -2936. ],[331.23552406 658.78675981 427.49448891 142.25409719],[18323.5 28774.  13293.   3812. ],[586.39040115 684.74337246 326.62143064 121.67413607]
688,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:55.606868.cam1.B_collapsed_diff.fits,107.5,Open,IPOL,0.0,B,0.105,0.0471744,10016.0,686.2401,31610.0,987.7687
653,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:28:25.911635.cam1.B_collapsed_diff.fits,107.5,625-50,IPOL,0.0,B,0.105,0.0471744,810.0,100.11769,1738.0,75.57625
316,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:30:56.834831.cam1.B_collapsed_diff.fits,107.5,675-50,IPOL,0.0,B,0.105,0.0471744,3613.0,227.46663,7352.0,247.62746
140,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:40:26.508794.cam1.B_collapsed_diff.fits,107.5,725-50,IPOL,0.0,B,0.105,0.0471744,6632.0,385.91885,13709.0,459.8841
625,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:42:57.626064.cam1.B_collapsed_diff.fits,107.5,750-50,IPOL,0.0,B,0.105,0.0471744,4890.0,331.29556,13663.0,451.2588
209,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:52:18.752079.cam1.B_collapsed_diff.fits,107.5,775-50,IPOL,0.0,B,0.105,0.0471744,1071.0,235.86905,5974.0,219.40094
753,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:39:21.954150.cam1.B_collapsed_diff.fits,107.5,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[2077.  8556.  7342.5 2620. ],[300.30300947 553.58251489 318.34333334 104.37385379],[18801.5 28492.5 13117.5  3513. ],[610.68958111 611.94711174 291.8454621   99.90035622]
1054,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:22:02.662189.cam1.A_collapsed_diff.fits,120.0,Open,IPOL,0.0,A,0.105,0.0471744,9020.0,425.80408,33049.0,1008.6374
410,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:28:33.249234.cam1.A_collapsed_diff.fits,120.0,625-50,IPOL,0.0,A,0.105,0.0471744,-164.0,65.85334,1770.5,74.71515
211,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:30:49.490551.cam1.A_collapsed_diff.fits,120.0,675-50,IPOL,0.0,A,0.105,0.0471744,-998.0,216.03499,7285.0,251.05927
738,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:40:33.945527.cam1.A_collapsed_diff.fits,120.0,725-50,IPOL,0.0,A,0.105,0.0471744,1826.0,268.0794,13747.0,448.61603
478,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:42:50.285182.cam1.A_collapsed_diff.fits,120.0,750-50,IPOL,0.0,A,0.105,0.0471744,2091.5,211.9859,14346.0,465.92252
385,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:52:26.185956.cam1.A_collapsed_diff.fits,120.0,775-50,IPOL,0.0,A,0.105,0.0471744,2075.0,131.8509,7111.0,255.92839
448,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:39:30.467874.cam1.A_collapsed_diff.fits,120.0,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[12197.  10305.5  -674.  -2422.5],[396.65574445 374.5843644  413.53785529 166.00722535],[21847.  27996.5 12906.   3744.5],[674.18801488 547.15938081 278.85849494 114.31308994]
805,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:22:02.662189.cam1.B_collapsed_diff.fits,120.0,Open,IPOL,0.0,B,0.105,0.0471744,-12709.0,362.19907,33244.5,1008.3519
777,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:28:33.249234.cam1.B_collapsed_diff.fits,120.0,625-50,IPOL,0.0,B,0.105,0.0471744,169.0,74.03884,1762.0,74.13353
1075,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:30:49.490551.cam1.B_collapsed_diff.fits,120.0,675-50,IPOL,0.0,B,0.105,0.0471744,-433.0,215.50089,7265.0,247.2981
412,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:40:33.945527.cam1.B_collapsed_diff.fits,120.0,725-50,IPOL,0.0,B,0.105,0.0471744,-4103.0,235.64076,13782.0,446.0862
67,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:42:50.285182.cam1.B_collapsed_diff.fits,120.0,750-50,IPOL,0.0,B,0.105,0.0471744,-6223.0,222.6532,14389.0,460.8608
780,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:52:26.185956.cam1.B_collapsed_diff.fits,120.0,775-50,IPOL,0.0,B,0.105,0.0471744,-4098.5,159.54991,7387.0,253.94843
533,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:39:30.467874.cam1.B_collapsed_diff.fits,120.0,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[-14083.  -13423.     334.5   2216. ],[371.57332812 375.59349888 248.13448498 106.82777678],[21064.  29077.  13393.   3557.5],[675.68500765 694.15471276 307.70073528 100.08453823]
963,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:05.969555.cam1.A_collapsed_diff.fits,132.5,Open,IPOL,0.0,A,0.105,0.0471744,21032.0,603.67346,33969.0,1029.9586
208,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:38.053071.cam1.A_collapsed_diff.fits,132.5,625-50,IPOL,0.0,A,0.105,0.0471744,258.0,74.51629,1779.0,73.08894
626,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:44.630678.cam1.A_collapsed_diff.fits,132.5,675-50,IPOL,0.0,A,0.105,0.0471744,3133.5,156.74396,7355.0,198.66684
763,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:38.778386.cam1.A_collapsed_diff.fits,132.5,725-50,IPOL,0.0,A,0.105,0.0471744,10049.0,309.0752,13898.0,435.79544
55,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:45.356514.cam1.A_collapsed_diff.fits,132.5,750-50,IPOL,0.0,A,0.105,0.0471744,10560.0,356.5226,14865.5,439.85715
641,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:53:30.088133.cam1.A_collapsed_diff.fits,132.5,775-50,IPOL,0.0,A,0.105,0.0471744,5754.0,215.46184,8274.0,291.0852
951,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:40:50.590585.cam1.A_collapsed_diff.fits,132.5,Open,IPOL_MBI,0.0,A,0.105,0.0962496,[20120.5 21867.   3112.  -2280. ],[637.62548882 410.90355702 429.49314218 167.77146912],[24137.5 27914.  12875.5  3750. ],[733.05427336 524.39846334 265.03196901 110.09893647]
91,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:05.969555.cam1.B_collapsed_diff.fits,132.5,Open,IPOL,0.0,B,0.105,0.0471744,-25124.0,701.34375,34766.0,1060.4845
595,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:38.053071.cam1.B_collapsed_diff.fits,132.5,625-50,IPOL,0.0,B,0.105,0.0471744,-194.0,74.7362,1792.0,73.59143
895,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:29:44.630678.cam1.B_collapsed_diff.fits,132.5,675-50,IPOL,0.0,B,0.105,0.0471744,-4335.0,203.07362,7712.0,250.83458
664,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:38.778386.cam1.B_collapsed_diff.fits,132.5,725-50,IPOL,0.0,B,0.105,0.0471744,-12547.0,352.94336,14399.0,451.23093
372,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:41:45.356514.cam1.B_collapsed_diff.fits,132.5,750-50,IPOL,0.0,B,0.105,0.0471744,-14104.0,432.6792,15526.0,491.53827
273,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:53:30.088133.cam1.B_collapsed_diff.fits,132.5,775-50,IPOL,0.0,B,0.105,0.0471744,-7808.0,284.50244,8493.5,299.28363
936,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:40:50.590585.cam1.B_collapsed_diff.fits,132.5,Open,IPOL_MBI,0.0,B,0.105,0.0962496,[-22436.  -25387.5  -3963.    1906.5],[708.12570258 554.25258428 180.25425144  97.2337253 ],[22875.5 29809.5 13650.   3603. ],[749.61295222 705.17941885 319.32798274 100.62004884]
826,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:17:25.119945.cam1.A_collapsed_diff.fits,45.0,Open,IPOL,11.25,A,0.105,0.0471744,17464.0,664.408,33526.0,1150.5118
611,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:23:53.259411.cam1.A_collapsed_diff.fits,45.0,625-50,IPOL,11.25,A,0.105,0.0471744,-1013.0,68.05033,1782.0,82.26767
